vietnamese,chinese,word_type,example
xin chào,你好,phrase,Xin chào bạn
cảm ơn,謝謝,phrase,Cảm ơn bạn rất nhiều
xin lỗi,對不起,phrase,Xin lỗi tôi đến trễ
không có gì,沒關係,phrase,Không có gì
vâng,是（禮貌）,adv,Vâng tôi hiểu
không,不/否,adv,Không tôi không biết
tôi,我,pron,Tôi là người Đài Loan
bạn,你,pron,Bạn tên là gì
anh,哥哥/男性稱謂,n,Anh ơi giúp tôi với
chị,姐姐/女性稱謂,n,Chị làm ở đâu
một,一,num,Một cái máy
hai,二,num,Hai người
ba,三,num,Ba ngày
bốn,四,num,Bốn giờ
năm,五,num,Năm phút
sáu,六,num,Sáu tháng
bảy,七,num,Bảy ngàn
tám,八,num,Tám trăm
chín,九,num,Chín cái
mười,十,num,Mười lăm phút
hôm nay,今天,n,Hôm nay là thứ mấy
ngày mai,明天,n,Ngày mai tôi nghỉ
hôm qua,昨天,n,Hôm qua tôi đi làm
giờ,小時/點鐘,n,Mấy giờ rồi
phút,分鐘,n,Năm phút nữa
sáng,早上,n,Buổi sáng
chiều,下午,n,Buổi chiều
tối,晚上,n,Buổi tối
ăn,吃,v,Tôi ăn cơm
uống,喝,v,Uống nước đi
làm,做/工作,v,Tôi đi làm
đi,去,v,Đi nhanh lên
đến,到/來,v,Tôi đến rồi
về,回去,v,Tôi về nhà
biết,知道,v,Tôi không biết
hiểu,懂/理解,v,Bạn hiểu không
giúp,幫忙,v,Giúp tôi với
cần,需要,v,Tôi cần giúp đỡ
muốn,想要,v,Tôi muốn ăn
nước,水,n,Uống nước
cơm,飯,n,Ăn cơm chưa
máy,機器,n,Máy bị hỏng
hàng,產品/貨物,n,Hàng bị lỗi
lỗi,錯誤/故障,n,Có lỗi rồi
hỏng,壞掉,adj,Máy bị hỏng
sửa,修理,v,Sửa máy
kiểm tra,檢查,v,Kiểm tra lại đi
báo cáo,報告/回報,v,Báo cáo cho tôi
dừng,停止,v,Dừng máy lại
chạy,運轉/跑,v,Máy đang chạy
nhanh,快,adj,Làm nhanh lên
chậm,慢,adj,Đi chậm thôi
nhiều,多,adj,Có nhiều hàng
ít,少,adj,Ít người quá
tốt,好,adj,Tốt lắm
xấu,不好/醜,adj,Hàng xấu
đúng,正確,adj,Đúng rồi
sai,錯誤,adj,Sai rồi làm lại
an toàn,安全,adj,Phải đảm bảo an toàn
cẩn thận,小心,adj,Cẩn thận kẻo ngã
